sentence	logprob_addone	logprob_addk	logprob_tokentype
ప్రభుత్వం గ్రామీణ వికాసానికి అదనపు నిధులను కేటాయించింది.	-83.28523093381827	-82.88017288399661	-83.28523093381827
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఉద్యోగులకు సిక్స్త్ పే కమిషన్ ప్రకారం వేతనాలు విధించబడతాయి.	-133.73742830826586	-132.39678238128357	-133.73742830826586
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-108.79317069757009	-107.31786066479471	-108.79317069757009
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-104.96446757328303	-102.83231633959448	-104.96446757328303
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-109.19873091283591	-107.82887643131893	-109.19873091283591
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-92.53666237495226	-90.8726845348746	-92.53666237495226
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-97.97471828338236	-97.97513702561734	-97.97471828338236
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-91.66137306191258	-89.93477372100305	-91.66137306191258
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-109.89188226632017	-108.92749706581128	-109.89188226632017
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-116.90527046987759	-114.96059150889371	-116.90527046987759
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-108.79317069757009	-107.31786066479471	-108.79317069757009
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-104.96446757328303	-102.83231633959448	-104.96446757328303
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-109.19873091283591	-107.82887643131893	-109.19873091283591
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-92.53666237495226	-90.8726845348746	-92.53666237495226
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-97.97471828338236	-97.97513702561734	-97.97471828338236
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-91.66137306191258	-89.93477372100305	-91.66137306191258
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-109.89188226632017	-108.92749706581128	-109.89188226632017
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-116.90527046987759	-114.96059150889371	-116.90527046987759
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-108.79317069757009	-107.31786066479471	-108.79317069757009
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-104.96446757328303	-102.83231633959448	-104.96446757328303
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-109.19873091283591	-107.82887643131893	-109.19873091283591
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-92.53666237495226	-90.8726845348746	-92.53666237495226
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-97.97471828338236	-97.97513702561734	-97.97471828338236
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-91.66137306191258	-89.93477372100305	-91.66137306191258
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-109.89188226632017	-108.92749706581128	-109.89188226632017
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-116.90527046987759	-114.96059150889371	-116.90527046987759
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-108.79317069757009	-107.31786066479471	-108.79317069757009
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-104.96446757328303	-102.83231633959448	-104.96446757328303
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-109.19873091283591	-107.82887643131893	-109.19873091283591
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-92.53666237495226	-90.8726845348746	-92.53666237495226
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-97.97471828338236	-97.97513702561734	-97.97471828338236
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-91.66137306191258	-89.93477372100305	-91.66137306191258
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-109.89188226632017	-108.92749706581128	-109.89188226632017
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-116.90527046987759	-114.96059150889371	-116.90527046987759
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-108.79317069757009	-107.31786066479471	-108.79317069757009
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-104.96446757328303	-102.83231633959448	-104.96446757328303
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-109.19873091283591	-107.82887643131893	-109.19873091283591
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-92.53666237495226	-90.8726845348746	-92.53666237495226
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-97.97471828338236	-97.97513702561734	-97.97471828338236
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-91.66137306191258	-89.93477372100305	-91.66137306191258
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-109.89188226632017	-108.92749706581128	-109.89188226632017
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-116.90527046987759	-114.96059150889371	-116.90527046987759
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-108.79317069757009	-107.31786066479471	-108.79317069757009
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-104.96446757328303	-102.83231633959448	-104.96446757328303
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-109.19873091283591	-107.82887643131893	-109.19873091283591
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-92.53666237495226	-90.8726845348746	-92.53666237495226
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-97.97471828338236	-97.97513702561734	-97.97471828338236
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అमలు చేయబడుతుంది.	-92.35442510366646	-91.0331957403505	-92.35442510366646
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-109.89188226632017	-108.92749706581128	-109.89188226632017
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషন్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-116.90526713153398	-114.9605848322176	-116.90526713153398
