sentence	logprob_addone	logprob_addk	logprob_tokentype
ప్రభుత్వం ఉన్నత విద్యలో గుణాత్మక మార్పులను తీసుకువచ్చే లక్ష్యాన్ని నిర్దేశించుకుంది.	-113.99492204576758	-111.51147576503173	-113.99492204576758
నగరంలో అతిపెద్ద సోలార్ ప్లాంట్ ప్రారంభించబడింది.	-72.28512601448375	-69.64862550424212	-72.28512601448375
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఆస్పత్రుల్లో మూడు షిఫ్ట్లలో వైద్య సేవలు అందించబడతాయి.	-112.02562671153301	-107.94821787146671	-112.02562671153301
ప్రధాని ఆరోగ్య యోజన క్రింద లక్షలాది మంది ప్రయోజనం పొందుతున్నారు.	-103.82328822876724	-100.07137599912079	-103.82328822876724
రాష్ట్రంలోని పట్టణ ప్రాంతాల్లో మౌసూన్ సెషన్ సమయంలో భారీ వర్షాలు కురిశాయి.	-110.23821072199623	-105.49218015607137	-110.23821072199623
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-103.1317819005213	-99.04937016293854	-103.1317819005213
రాష్ట్ర పోలీసు దళం సైబర్ క్రైమ్ నివారణ కోసం ప్రత్యేక యూనిట్ ఏర్పాటు చేసింది.	-121.50197779344369	-115.3191759860821	-121.50197779344369
ఆహార్ పథకం క్రింద లక్షలాది మందికి అన్నపూర్ణా కార్డులు జారీ చేయబడ్డాయి.	-124.02075004315213	-121.0307009359386	-124.02075004315213
రాష్ట్ర ప్రభుత్వం పంటల బీమా పథకాన్ని విస్తరించింది.	-70.59157269046365	-66.93853380143727	-70.59157269046365
గ్రామ సచివాలయాల్లో డిజిటల్ సదుపాయాలు అందించబడతాయి.	-72.56318692667071	-70.90364366685353	-72.56318692667071
రాష్ట్రంలోని అన్ని జిల్లాల్లో స్మార్ట్ క్లాస్ రూమ్స్ ఏర్పాటు చేయబడతాయి.	-101.93632958684182	-97.4876458499545	-101.93632958684182
ప్రభుత్వం పారిశ్రామికీకరణను ప్రోత్సహించడానికి నూతన విధానాన్ని ప్రకటించింది.	-81.69970962021232	-79.45986400577392	-81.69970962021232
రాష్ట్రంలోని అన్ని మహిళా కళాశాలల్లో సెల్ఫ్ డిఫెన్స్ శిక్షణ ఇవ్వబడుతుంది.	-107.90422462653615	-104.63671901805982	-107.90422462653615
ప్రభుత్వం గ్రామీణ వికాసానికి అదనపు నిధులను కేటాయించింది.	-81.21951351599775	-78.28661147263921	-81.21951351599775
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఉద్యోగులకు సిక్స్త్ పే కమిషన్ ప్రకారం వేతనాలు విధించబడతాయి.	-128.17667142799573	-123.68646237099114	-128.17667142799573
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-95.28198386357921	-89.7616498512074	-95.28198386357921
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-101.86654759941229	-97.39202317173917	-101.86654759941229
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-104.38251660648835	-100.51166023701057	-104.38251660648835
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-89.88945690551813	-86.28534887331551	-89.88945690551813
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-93.38857249687544	-89.90284944244796	-93.38857249687544
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-85.32446760407257	-81.63034352953142	-85.32446760407257
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-103.1317819005213	-99.04937016293854	-103.1317819005213
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-110.90218675958035	-106.62327602497744	-110.90218675958035
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-95.28198386357921	-89.7616498512074	-95.28198386357921
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-101.86654759941229	-97.39202317173917	-101.86654759941229
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-104.38251660648835	-100.51166023701057	-104.38251660648835
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-89.88945690551813	-86.28534887331551	-89.88945690551813
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-93.38857249687544	-89.90284944244796	-93.38857249687544
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-85.32446760407257	-81.63034352953142	-85.32446760407257
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-103.1317819005213	-99.04937016293854	-103.1317819005213
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-110.90218675958035	-106.62327602497744	-110.90218675958035
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-95.28198386357921	-89.7616498512074	-95.28198386357921
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-101.86654759941229	-97.39202317173917	-101.86654759941229
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-104.38251660648835	-100.51166023701057	-104.38251660648835
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-89.88945690551813	-86.28534887331551	-89.88945690551813
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-93.38857249687544	-89.90284944244796	-93.38857249687544
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-85.32446760407257	-81.63034352953142	-85.32446760407257
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-103.1317819005213	-99.04937016293854	-103.1317819005213
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-110.90218675958035	-106.62327602497744	-110.90218675958035
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-95.28198386357921	-89.7616498512074	-95.28198386357921
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-101.86654759941229	-97.39202317173917	-101.86654759941229
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-104.38251660648835	-100.51166023701057	-104.38251660648835
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-89.88945690551813	-86.28534887331551	-89.88945690551813
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-93.38857249687544	-89.90284944244796	-93.38857249687544
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-85.32446760407257	-81.63034352953142	-85.32446760407257
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-103.1317819005213	-99.04937016293854	-103.1317819005213
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-110.90218675958035	-106.62327602497744	-110.90218675958035
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-95.28198386357921	-89.7616498512074	-95.28198386357921
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-101.86654759941229	-97.39202317173917	-101.86654759941229
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-104.38251660648835	-100.51166023701057	-104.38251660648835
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-89.88945690551813	-86.28534887331551	-89.88945690551813
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-93.38857249687544	-89.90284944244796	-93.38857249687544
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-85.32446760407257	-81.63034352953142	-85.32446760407257
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-103.1317819005213	-99.04937016293854	-103.1317819005213
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-110.90218675958035	-106.62327602497744	-110.90218675958035
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-95.28198386357921	-89.7616498512074	-95.28198386357921
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-101.86654759941229	-97.39202317173917	-101.86654759941229
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-104.38251660648835	-100.51166023701057	-104.38251660648835
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-89.88945690551813	-86.28534887331551	-89.88945690551813
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-93.38857249687544	-89.90284944244796	-93.38857249687544
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అमలు చేయబడుతుంది.	-91.81086573228478	-89.40566104596996	-91.81086573228478
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-103.1317819005213	-99.04937016293854	-103.1317819005213
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషন్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-112.51118660964488	-108.81962466938914	-112.51118660964488
