sentence	logprob_addone	logprob_addk	logprob_tokentype
ప్రభుత్వం ఉన్నత విద్యలో గుణాత్మక మార్పులను తీసుకువచ్చే లక్ష్యాన్ని నిర్దేశించుకుంది.	-96.88092055516802	-96.73033883371812	-96.88092055516802
నగరంలో అతిపెద్ద సోలార్ ప్లాంట్ ప్రారంభించబడింది.	-59.61853084172528	-59.479619852848955	-59.61853084172528
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఆస్పత్రుల్లో మూడు షిఫ్ట్లలో వైద్య సేవలు అందించబడతాయి.	-97.04623704244008	-97.53454757386639	-97.04623704244008
ప్రధాని ఆరోగ్య యోజన క్రింద లక్షలాది మంది ప్రయోజనం పొందుతున్నారు.	-81.4809851899846	-81.27670986400531	-81.4809851899846
రాష్ట్రంలోని పట్టణ ప్రాంతాల్లో మౌసూన్ సెషన్ సమయంలో భారీ వర్షాలు కురిశాయి.	-99.45769082898768	-99.9289120153989	-99.45769082898768
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్ర పోలీసు దళం సైబర్ క్రైమ్ నివారణ కోసం ప్రత్యేక యూనిట్ ఏర్పాటు చేసింది.	-102.82095765277032	-102.55490571609909	-102.82095765277032
ఆహార్ పథకం క్రింద లక్షలాది మందికి అన్నపూర్ణా కార్డులు జారీ చేయబడ్డాయి.	-106.06178591517855	-106.14966491325556	-106.06178591517855
రాష్ట్ర ప్రభుత్వం పంటల బీమా పథకాన్ని విస్తరించింది.	-63.46163257801434	-63.299397815721186	-63.46163257801434
గ్రామ సచివాలయాల్లో డిజిటల్ సదుపాయాలు అందించబడతాయి.	-63.11013862287491	-62.993592798348566	-63.11013862287491
రాష్ట్రంలోని అన్ని జిల్లాల్లో స్మార్ట్ క్లాస్ రూమ్స్ ఏర్పాటు చేయబడతాయి.	-83.83567400101799	-83.63917279499023	-83.83567400101799
ప్రభుత్వం పారిశ్రామికీకరణను ప్రోత్సహించడానికి నూతన విధానాన్ని ప్రకటించింది.	-69.67457381968187	-69.64618405885557	-69.67457381968187
రాష్ట్రంలోని అన్ని మహిళా కళాశాలల్లో సెల్ఫ్ డిఫెన్స్ శిక్షణ ఇవ్వబడుతుంది.	-87.6565281415903	-87.45856492611624	-87.6565281415903
ప్రభుత్వం గ్రామీణ వికాసానికి అదనపు నిధులను కేటాయించింది.	-67.22346568328379	-67.06828653282902	-67.22346568328379
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఉద్యోగులకు సిక్స్త్ పే కమిషన్ ప్రకారం వేతనాలు విధించబడతాయి.	-109.06283701246738	-108.95157929326975	-109.06283701246738
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-70.6578740611016	-70.47341509174842	-70.6578740611016
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-95.79066911720045	-95.57717454203619	-95.79066911720045
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-78.07193703957024	-77.868281708794	-78.07193703957024
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-88.02431316528244	-87.82963328301821	-88.02431316528244
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-91.0762892892826	-90.94557507465727	-91.0762892892826
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-74.23715728441887	-74.05695661779279	-74.23715728441887
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-75.91179033396074	-76.42086097707745	-75.91179033396074
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అमలు చేయబడుతుంది.	-79.51453499811883	-80.02315199186307	-79.51453499811883
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-85.74106522642538	-85.54048707646719	-85.74106522642538
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషন్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-102.05597032993816	-102.53467191291314	-102.05597032993816
