sentence	logprob_addone	logprob_addk	logprob_tokentype
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఆస్పత్రుల్లో మూడు షిఫ్ట్లలో వైద్య సేవలు అందించబడతాయి.	-110.36123002641102	-109.77348342070681	-110.36123002641102
ప్రధాని ఆరోగ్య యోజన క్రింద లక్షలాది మంది ప్రయోజనం పొందుతున్నారు.	-97.28115304813936	-96.87568877461746	-97.28115304813936
రాష్ట్రంలోని పట్టణ ప్రాంతాల్లో మౌసూన్ సెషన్ సమయంలో భారీ వర్షాలు కురిశాయి.	-109.48574793567704	-108.47417372984981	-109.48574793567704
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-97.97430189787111	-97.97430440162361	-97.97430189787111
రాష్ట్ర పోలీసు దళం సైబర్ క్రైమ్ నివారణ కోసం ప్రత్యేక యూనిట్ ఏర్పాటు చేసింది.	-139.27014017193213	-138.86467756758066	-139.27014017193213
ఆహార్ పథకం క్రింద లక్షలాది మందికి అన్నపూర్ణా కార్డులు జారీ చేయబడ్డాయి.	-111.97062787898554	-111.97062787898554	-111.97062787898554
రాష్ట్ర ప్రభుత్వం పంటల బీమా పథకాన్ని విస్తరించింది.	-69.98174841200425	-69.98185438974602	-69.98174841200425
గ్రామ సచివాలయాల్లో డిజిటల్ సదుపాయాలు అందించబడతాయి.	-55.98531644325155	-55.985318947004046	-55.98531644325155
రాష్ట్రంలోని అన్ని జిల్లాల్లో స్మార్ట్ క్లాస్ రూమ్స్ ఏర్పాటు చేయబడతాయి.	-97.28117975472263	-96.8757421873633	-97.28117975472263
ప్రభుత్వం పారిశ్రామికీకరణను ప్రోత్సహించడానికి నూతన విధానాన్ని ప్రకటించింది.	-69.98164242436597	-69.98164242436597	-69.98164242436597
రాష్ట్రంలోని అన్ని మహిళా కళాశాలల్లో సెల్ఫ్ డిఫెన్స్ శిక్షణ ఇవ్వబడుతుంది.	-97.9743177548644	-97.97433611527936	-97.9743177548644
ప్రభుత్వం గ్రామీణ వికాసానికి అదనపు నిధులను కేటాయించింది.	-69.98164242436597	-69.98164242436597	-69.98164242436597
రాష్ట్రంలోని అన్ని ప్రభుత్వ ఉద్యోగులకు సిక్స్త్ పే కమిషన్ ప్రకారం వేతనాలు విధించబడతాయి.	-124.35755433835641	-123.76980355974182	-124.35755433835641
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-97.97430440163127	-97.97430940914046	-97.97430440163127
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-97.28118058930959	-96.8757438565365	-97.28118058930959
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-97.97430273245807	-97.97430607079683	-97.97430273245807
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-83.97799260833484	-83.97801430708228	-83.97799260833484
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-83.97797090923916	-83.97797090923916	-83.97797090923916
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-83.28485126984944	-82.87941370249011	-83.28485126984944
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-97.97430189787111	-97.97430440162361	-97.97430189787111
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-111.97064957808122	-111.97067127682865	-111.97064957808122
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-97.97430440163127	-97.97430940914046	-97.97430440163127
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-97.28118058930959	-96.8757438565365	-97.28118058930959
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-97.97430273245807	-97.97430607079683	-97.97430273245807
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-83.97799260833484	-83.97801430708228	-83.97799260833484
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-83.97797090923916	-83.97797090923916	-83.97797090923916
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-83.28485126984944	-82.87941370249011	-83.28485126984944
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-97.97430189787111	-97.97430440162361	-97.97430189787111
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-111.97064957808122	-111.97067127682865	-111.97064957808122
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-97.97430440163127	-97.97430940914046	-97.97430440163127
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-97.28118058930959	-96.8757438565365	-97.28118058930959
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-97.97430273245807	-97.97430607079683	-97.97430273245807
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-83.97799260833484	-83.97801430708228	-83.97799260833484
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-83.97797090923916	-83.97797090923916	-83.97797090923916
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-83.28485126984944	-82.87941370249011	-83.28485126984944
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-97.97430189787111	-97.97430440162361	-97.97430189787111
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-111.97064957808122	-111.97067127682865	-111.97064957808122
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-97.97430440163127	-97.97430940914046	-97.97430440163127
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-97.28118058930959	-96.8757438565365	-97.28118058930959
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-97.97430273245807	-97.97430607079683	-97.97430273245807
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-83.97799260833484	-83.97801430708228	-83.97799260833484
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-83.97797090923916	-83.97797090923916	-83.97797090923916
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-83.28485126984944	-82.87941370249011	-83.28485126984944
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-97.97430189787111	-97.97430440162361	-97.97430189787111
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-111.97064957808122	-111.97067127682865	-111.97064957808122
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-97.97430440163127	-97.97430940914046	-97.97430440163127
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-97.28118058930959	-96.8757438565365	-97.28118058930959
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-97.97430273245807	-97.97430607079683	-97.97430273245807
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-83.97799260833484	-83.97801430708228	-83.97799260833484
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-83.97797090923916	-83.97797090923916	-83.97797090923916
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అమలు చేయబడుతుంది.	-83.28485126984944	-82.87941370249011	-83.28485126984944
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-97.97430189787111	-97.97430440162361	-97.97430189787111
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషన్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-111.97064957808122	-111.97067127682865	-111.97064957808122
ప్రభుత్వం పేదల కోసం ఆరోగ్య బీమా పథకాన్ని మరింత విస్తరించింది.	-97.97430440163127	-97.97430940914046	-97.97430440163127
రాష్ట్రంలోని అన్ని జిల్లాల్లో సోలార్ పంప్ సెట్లు ఏర్పాటు చేయబడతాయి.	-97.28118058930959	-96.8757438565365	-97.28118058930959
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో డిజిటల్ లైబ్రరీలను స్థాపించడానికి ప్రణాళిక రూపొందించింది.	-97.97430273245807	-97.97430607079683	-97.97430273245807
రాష్ట్రంలోని అన్ని పాఠశాలల్లో స్మార్ట్ బోర్డులు ఏర్పాటు చేయబడతాయి.	-83.97799260833484	-83.97801430708228	-83.97799260833484
ప్రభుత్వం పేద వర్గాల కోసం ఆవాసయోజనను మరింత విస్తరించింది.	-83.97797090923916	-83.97797090923916	-83.97797090923916
రాష్ట్రంలోని అన్ని జిల్లాల్లో డిజిటల్ పథకం అमలు చేయబడుతుంది.	-83.28485126984944	-82.87941370249011	-83.28485126984944
ప్రభుత్వం గ్రామీణ ప్రాంతాల్లో ఇంటర్నెట్ సౌకర్యాన్ని మెరుగుపరచడానికి ప్రణాళిక రూపొందించింది.	-97.97430189787111	-97.97430440162361	-97.97430189787111
రాష్ట్రంలోని అన్ని పాఠశాలల్లో డిజిటల్ ఎడ్యుకేషন్ పద్ధతిని ప్రవేశపెట్టడానికి ప్రభుత్వం నిర్ణయించింది.	-111.97064957808122	-111.97067127682865	-111.97064957808122
